,Title,Cast,Director,Release Date,Running Time,Country,Production Company,IMDb Score,Genre,Description,Box Office,Wins_Nominations,IMDb Votes,Rated,Type
79,The Mars Generation,"Elsa Shiju, Bob Behnken, Alayna Bidlack",Michael Barnett,,97 minutes,United States,,6.5,Documentary,Aspiring teenage astronauts reveal that a journey to Mars is closer than you think.,,2 wins & 1 nomination,"1,023",N/A,movie
80,Get Me Roger Stone,"Roger Stone, Donald Trump, Jane Mayer",Dylan Bank Daniel DiMauro Morgan Pehme,"['April 23, 2017 ', 'May 12, 2017 ']",92 minutes,United States,,7.3,"Documentary, Biography","A documentary exploring the life and career of notorious Republican dirty trickster and longtime Trump adviser, Roger Stone, who helped create the real estate mogul's political career.",,2 wins,"7,635",TV-14,movie
81,Laerte-se,"Laerte Coutinho, Eliane Brum, Rafael Coutinho",Lygia Barbosa Eliane Brum,,100 minutes,Brazil,,7.0,Documentary,"After living as a man for nearly 60 years, Laerte Coutinho, one of Brazil's most brilliant cartoonists, introduces herself to the world as a woman.",,N/A,713,TV-MA,movie
82,Joshua: Teenager vs. Superpower,"Agnes Chow, Joshua 'Chi-Fung' Wong",,,,United States,,7.3,Documentary,"When the Chinese Communist Party backtracks on its promise of autonomy to Hong Kong, teenager Joshua Wong decides to save his city. Rallying thousands of kids to skip school and occupy the streets, Joshua becomes an unlikely leade...",,2 wins & 3 nominations,"1,652",TV-14,movie
83,CounterPunch,"Oscar De La Hoya, David Diamante, Bernard Hopkins",,,91 minutes,United States,,6.7,"Documentary, Sport","The seasoned pro. The Olympic hopeful. The young up-and-comer. The ring is their home, and the titles are their dream. As boxing' popularity wanes, three fighters at different stages of their career make sacrifices to pursue their...",,2 nominations,958,N/A,movie
84,Nobody Speak: Trials of the Free Press,"A.J. Daulerio, Hulk Hogan, Charles Harder",Brian Knappenberger,,95 minutes,"Netherlands, United States",Netflix First Look Media,6.5,Documentary,"The trial between Hulk Hogan and Gawker Media pitted privacy rights against freedom of the press, and raised important questions about how big money can silence media. This film is an examination of the perils and duties of the fr...",,4 nominations,"4,341",TV-14,movie
85,Chasing Coral,"Andrew Ackerman, Pim Bongaerts, Neal Cantin",Jeff Orlowski,,93 minutes,United States,"['Exposure Labs', 'Argent Pictures', 'Code Blue Foundation', 'EarthSense Foundation', 'The Kendeda Fund', 'Sustainable Films']",8.0,Documentary,"Coral reefs around the world are vanishing at an unprecedented rate. A team of divers, photographers and scientists set out on a thrilling ocean adventure to discover why and to reveal the underwater mystery to the world.",,7 wins & 18 nominations,"5,521",N/A,movie
86,Icarus,"Bryan Fogel, Dave Zabriskie, Don Catlin",Bryan Fogel,"['January 20, 2017 ', 'August 4, 2017 ']",121 minutes,United States,"['Alex Productions', 'Diamond Docs', 'Impact Partners']",7.9,"Documentary, Sport","When Bryan sets out to uncover the truth about doping in sports, a chance meeting with a Russian scientist transforms his story from a personal experiment into a geopolitical thriller.",,Won 1 Oscar. 8 wins & 13 nominations total,"53,225",TV-MA,movie
87,Resurface,"Bobby Lane, Van Curaza, Martin Pollock",Joshua Izenberg Wynn Padula,,26 minutes,United States,,6.9,"Documentary, Short, Sport","After years of nightmares, depression, and seizures, Iraq war veteran Bobby Lane could see no way out of his trauma other than suicide. Then he met Van Curaza, a former big wave surfer who since founded Operation Surf and dedicate...",,2 wins,493,N/A,movie
88,Heroin(e),"Jan Rader, Patricia Keller, Necia Freeman",Elaine McMillion Sheldon,,39 minutes,United States,,6.8,"Documentary, Short",Three women fight to break the cycle one life at a time.,,Nominated for 1 Oscar. 1 win & 3 nominations total,"3,203",N/A,movie
89,Strong Island,"Yance Ford, Harvey Walker, Kevin Myers",Yance Ford,"['January 23, 2017 ', 'September 15, 2017']",107 minutes,"United States, Denmark",Yanceville Films Louverture Films,6.4,"Documentary, Crime","When filmmaker Yance Ford investigates the 1992 murder of a young Black man, it becomes an achingly personal journey since the victim, 24-year-old William Ford Jr., was the filmmaker's brother.",,Nominated for 1 Oscar. 13 wins & 11 nominations total,"4,049",TV-MA,movie
90,Gaga: Five Foot Two,"Sandra Amador, Michael Bearden, Tony Bennett",Chris Moukarbel,"['September 8, 2017 ', 'September 22, 2017 ']",100 minutes,United States,"['Live Nation Productions', 'Mermaid Films', 'Permanent Wave']",7.0,"Documentary, Music",This documentary goes behind the scenes with pop provocateur Lady Gaga as she releases a bold new album and prepares for her Super Bowl halftime show.,,4 wins & 1 nomination,"13,472",TV-MA,movie
91,Long Shot,"Charlize Theron, Seth Rogen, June Diane Raphael",Jacob LaMendola,"['September 3, 2017 ', 'September 29, 2017']",40 minutes,"United States, Canada, Colombia",Hayden5,6.8,"Comedy, Romance","Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks ...",,5 wins & 13 nominations,"117,062",R,movie
92,The Death and Life of Marsha P. Johnson,"Kurt Wolfe, Sue Yacka, Catherine Shugrue Dos Santos",David France,"['April 21, 2017 ', 'October 6, 2017']",105 minutes,"Greece, United States",Public Square Films,7.2,"Documentary, Biography","Victoria Cruz investigates the mysterious 1992 death of black gay rights activist and Stonewall veteran, Marsha P. Johnson. Using archival interviews with Johnson, and new interviews with Johnson's family, friends and fellow activ...",,4 wins & 5 nominations,"3,131",TV-MA,movie
93,Kingdom of Us,"Jamie-Jodie Shanks, Kacie-Kimie Shanks, Lorie-Lanie Shanks",,,109 minutes,United Kingdom,,6.9,"Documentary, Drama",A father's suicide sends a family of eight on a journey through childhood memories and treacherous emotional waters in this poignant documentary.,,Nominated for 1 BAFTA Award1 win & 2 nominations total,960,N/A,movie
94,One of Us,"Etty, Chani Getter, Ari Hershkowitz",Heidi Ewing Rachel Grady,,95 minutes,United States,Loki Films,7.0,Documentary,"Penetrating the insular world of New York's Hasidic community, focusing on three individuals driven to break away despite threats of retaliation.",,2 wins & 5 nominations,"6,988",N/A,movie
95,Joan Didion: The Center Will Not Hold,"Joan Didion, Griffin Dunne, Anna Wintour",,"['October 11, 2017 ', 'October 27, 2017']",94 minutes,United States,,7.5,"Documentary, Biography","Literary icon Joan Didion reflects on her remarkable career and personal struggles in this intimate documentary directed by her nephew, Griffin Dunne.",,4 nominations,"2,963",N/A,movie
96,Jim & Andy: The Great Beyond,"Jim Carrey, Danny DeVito, Milos Forman",Chris Smith,"['September 5, 2017 ', 'November 17, 2017 ']",94 minutes,"United States, Canada",VICE Films,7.6,Documentary,A behind-the-scenes look at how Jim Carrey adopted the persona of idiosyncratic comedian Andy Kaufman on the set of Man on the Moon (1999).,,Nominated for 1 Primetime Emmy. 3 wins & 7 nominations total,"27,387",TV-MA,movie
97,Saving Capitalism,"Robert Reich, Darvin Bentlage, Annie Presley",,,73 minutes,United States,,6.8,Documentary,"SAVING CAPITALISM is a documentary film that follows former Secretary of Labor and Professor, Robert Reich, as he takes his book and his views to the heart of conservative America to speak about our economic system and present big...",,1 nomination,"3,350",TV-PG,movie
98,Cuba and the Cameraman,N/A,Jon Alpert,"['September 7, 2017 ', 'November 24, 2017 ']",114 minutes,United States,,8.2,Documentary,"Life in Cuba for three struggling families over the course of 45 years, from the cautious optimism of the early 1970s to the harrowing 1990s after the fall of the Soviet Union and the 2016 death of Fidel Castro.",,1 nomination,"5,367",N/A,movie
99,Voyeur,"Gay Talese, Gerald Foos, Nan Talese",Myles Kane Josh Koury,"['October 4, 2017 ', 'December 1, 2017']",96 minutes,United States,Brooklyn Underground Films Chicago Media Project Impact Partners Public Record,6.1,"Documentary, Crime","Journalism icon Gay Talese reports on Gerald Foos, the owner of a Colorado motel, who allegedly secretly watched his guests with the aid of specially designed ceiling vents, peering down from an ""observation platform"" he built in ...",,N/A,"6,710",TV-MA,movie
100,A Very Murray Christmas,"Bill Murray, Paul Shaffer, Michael Cera",Sofia Coppola,,56 minutes,United States,American Zoetrope,5.5,"Comedy, Music, Musical",Bill Murray worries no one will show up to his TV show due to a terrible snowstorm in New York City.,,Nominated for 2 Primetime Emmys. 8 nominations total,"15,994",TV-MA,movie
101,nan,"Paul Reid, Emer Hedderman, Rosalie Craig",,,,United Kingdom,,4.8,Comedy,Catherine Tate's iconic character Nan hits the big screen as she goes on a wild road trip from London to Ireland with her grandson Jamie to make amends with her estranged sister Nell.,,1 win & 2 nominations,"1,377",N/A,movie
102,13th,"Melina Abdullah, Michelle Alexander, Cory Booker",Ava DuVernay,"['September 30, 2016 ', 'October 7, 2016 ']",100 minutes,United States,Kandoo Films,8.2,"Documentary, Crime, History",An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,,Nominated for 1 Oscar. 32 wins & 47 nominations total,"37,001",TV-MA,movie
103,"Michael Bolton's Big, Sexy Valentine's Day Special","Michael Bolton, Sarah Shahi, Adam Scott",Akiva Schaffer Scott Aukerman,,54 minutes,United States,,6.8,"Comedy, Music, Musical","After Santa tells Michael Bolton that he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a sexy telethon to get the world to start making love.",,1 nomination,"2,240",TV-MA,movie
104,Rodney King,Roger Guenveur Smith,,,52 minutes,United States,,6.2,"Comedy, Drama",Roger Guenveur Smith performs his one man show focusing on the life and times of Rodney King.,,1 nomination,631,TV-MA,movie
105,nan,"Paul Reid, Emer Hedderman, Rosalie Craig",,,,United Kingdom,,4.8,Comedy,Catherine Tate's iconic character Nan hits the big screen as she goes on a wild road trip from London to Ireland with her grandson Jamie to make amends with her estranged sister Nell.,,1 win & 2 nominations,"1,377",N/A,movie
106,The Polka King,"Jack Black, Jenny Slate, Jason Schwartzman",Maya Forbes,"['January 22, 2017 ', 'January 12, 2018 ']",95 minutes,United States,Red Hour Productions Electric Dynamite Permut Presentations ShivHans Pictures,6.0,"Biography, Comedy, Drama",Local Pennsylvania polka legend Jan Lewan develops a plan to get rich that shocks his fans and lands him in jail.,,1 win,"11,569",TV-14,movie
107,Step Sisters,"Megalyn Echikunwoke, Eden Sher, Lyndon Smith",Charles Stone III,,108 minutes,United States,['Los Angeles Media Fund'],5.5,Comedy,"To get the college dean's backing for Harvard, Jamilah has to teach girls at a white sorority to step dance.",,N/A,"4,774",PG-13,movie
108,Open House,"Brian Geraghty, Rachel Blanchard, Anna Paquin","['Matt Angel', 'Suzanne Coote']",,94 minutes,United States,,4.3,"Crime, Drama, Thriller","A couple on the verge of a nasty divorce attempt to sell their empty love nest and move on with their lives, separately. After a successful open house they are horrified to discover, days later, that a potential buyer didn't leave...",,2 nominations,"2,579",R,movie
109,A Futile and Stupid Gesture,"Frank Gingerich, Morgan Gingerich, Annette O'Toole",David Wain,"['January 24, 2018 ', 'January 26, 2018 ']",101 minutes,United States,"['Abominable Pictures', 'Principato-Young Entertainment']",6.7,"Biography, Comedy","In the 1970s and '80s, National Lampoon's success and influence creates a new media empire overseen in part by the brilliant and troubled Douglas Kenney.",,2 nominations,"17,438",TV-MA,movie
110,The Cloverfield Paradox,"Gugu Mbatha-Raw, David Oyelowo, Daniel Brühl",Julius Onah,,102 minutes,United States,"['Paramount Pictures', 'Bad Robot Productions']",5.5,"Action, Adventure, Horror","Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality.",,1 nomination,"110,466",PG-13,movie
111,When We First Met,"Adam Devine, Alexandra Daddario, Shelley Hennig",Ari Sandel,,97 minutes,United States,"['Footprint Features', 'MXN Entertainment', 'Wonderland Sound and Vision']",6.4,"Comedy, Fantasy, Romance","Noah meets Avery at a Halloween party and falls in love but gets friend-zoned. 3 years later, she's engaged to someone else. Noah returns in a time machine to fix things.",,N/A,"52,542",TV-14,movie
112,Love Per Square Foot,"Vicky Kaushal, Angira Dhar, Alankrita Sahai",Anand Tiwari,,133 minutes,India,RSVP Movies,7.2,"Comedy, Romance","Individually, Sanjay and Karina don't earn enough to be able to buy a home, so they enter into a marriage of convenience.",,1 nomination,"8,810",TV-14,movie
113,Irreplaceable You,"Gugu Mbatha-Raw, Michiel Huisman, Steve Coogan",Stephanie Laing,,96 minutes,United States,"['ACE', 'Tropper Ink Productions', 'Rocliffe Productions', 'PYPO', 'Opposite Field Pictures', 'The Exchange']",6.4,"Comedy, Drama, Romance",A man and a woman who have known each other since age 8 are destined to be together until death does them part.,,N/A,"10,176",TV-MA,movie
114,Mute,"Alexander Skarsgård, Paul Rudd, Justin Theroux",Duncan Jones,,126 minutes,"United Kingdom, Germany","['Liberty Films UK', 'Studio Babelsberg']",5.4,"Mystery, Sci-Fi, Thriller",A mute bartender goes up against his city's gangsters in an effort to find out what happened to his missing partner.,,1 nomination,"37,338",TV-MA,movie
115,The Outsider,"Ben Mendelsohn, Bill Camp, Jeremy Bobb",Martin Zandvliet,,120 minutes,United States,"['Linson Entertainment', 'Waypoint Entertainment']",7.6,"Crime, Drama, Horror","When an insidious supernatural force edges its way into a seemingly straightforward investigation into the gruesome murder of a young boy, it leads a seasoned cop and an unorthodox investigator to question everything they believe in.",,Nominated for 1 Primetime Emmy. 1 win & 11 nominations total,"91,689",TV-MA,series
116,Benji,"Gabriel Bateman, Darby Camp, Kiele Sanchez",Brandon Camp,,87 minutes,"United Arab Emirates, United States","['Blumhouse Productions', 'Meridian Entertainment', 'Imagenation Abu Dhabi', 'Cohen Kids', 'Anton Capital Entertainment', 'Camp Brand', 'Symbolic Exchange']",6.3,"Crime, Drama, Family","Two school kids strike up a friendship with an orphaned puppy named Benji. When danger befalls them and they end up kidnapped by robbers who are in over their heads, Benji and his scruffy sidekick come to the rescue.",,N/A,"5,270",TV-PG,movie
117,"Game Over, Man!","Adam Devine, Anders Holm, Blake Anderson",Kyle Newacheck,,101 minutes,United States,"['Mail Order Company', 'Point Grey Pictures', 'Scott Rudin Productions']",5.4,"Action, Comedy",Three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists.,,2 nominations,"32,431",TV-MA,movie
