,Title,Directed by,Screenplay by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Release dates,Running time,Country,Languages,Budget,Box office,Written by,Production company,Release date,Language,Countries,Story by,Spanish,Narrated by,Country of origin,Original language,Producers,Editor,Original release,Location,Associated album,Start date,End date,Legs,No. of shows,Supporting acts,Attendance,Composer,Executive producers,French,Venue,Kanji,Literal meaning,Transcriptions,Revised Hepburn,Traditional Chinese,Simplified Chinese,Hanyu Pinyin,Genre,Created by,Editors,Released,Length,Label,Producer,Executive producer,Original network,Portuguese,Animation by,Hangul,Revised Romanization,Turkish,Italian,Voices of,Original languages,No. of seasons,No. of episodes,Indonesian,German,Literally,Norwegian,Polish,Dutch,Hanja,Swedish,Music,Lyrics,Book,Basis,Productions,Composers,Camera setup,Date,Attack type,Weapon,Victim,Perpetrator,Motive,Accused,Convictions,Outcome,Sentence,McCune–Reischauer,Production locations,,Recorded,Original work,Owner,Years,Film(s),Television series,Video game(s),Toy(s),Comics,Short film(s),Web series,Animated series,Television special(s),Play(s),Novel(s),Traditional
30,Win It All,Joe Swanberg,,,"['Joe Swanberg', 'Jake Johnson', 'Alex Orr']","['Jake Johnson', 'Aislinn Derbez', 'Joe Lo Truglio', 'Keegan-Michael Key', 'Nicky Excitement']",Eon Mora,Joe Swanberg,Dan Romer,"['Forager Films', 'Garrett Doubles Down']",Netflix,"['March 11, 2017 ', 'April 7, 2017 ']",90 minutes,United States,,,,"['Joe Swanberg', 'Jake Johnson']",,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sandy Wexler,Steve Brill,,,"['Adam Sandler', 'Allen Covert', 'Ted Sarandos']","['Adam Sandler', 'Jennifer Hudson', 'Kevin James', 'Terry Crews', 'Rob Schneider', 'Colin Quinn', 'Lamorne Morris']",Dean Semler,Tom Costain,Rupert Gregson-Williams,,Netflix,"['April 7, 2017 ', 'April 14, 2017 ']",131 minutes,United States,,$24.3 million,,"['Dan Bulla', 'Paul Sado', 'Adam Sandler']",Happy Madison Productions,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sand Castle,Fernando Coimbra,,,"['Mark Gordon', 'Justin Nappi', 'Ben Pugh']","['Nicholas Hoult', 'Logan Marshall-Green', 'Henry Cavill', 'Glen Powell', 'Beau Knapp', 'Neil Brown Jr.', 'Tommy Flanagan']",Ben Richardson,Zach Staenberg,Adam Peters,"['42', 'Treehouse Pictures']",Netflix,,113 minutes,United States,,,,Chris Roessner,,"['April 21, 2017']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Tramps,Adam Leon,,,"['Joshua Astrachan', 'David Kaplan', 'Andrea Roa', 'Jamund Washington']","['Callum Turner', 'Grace Van Patten']",Ashley Connor,"['Morgan Faust', 'Sara Shaw']",Nicholas Britell,"['Animal Kingdom', 'Rooks Nest Entertainment']",Netflix,"['September 10, 2016 ', 'April 21, 2017 ']",83 minutes,United States,,,,Adam Leon,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Small Crimes,Evan Katz,"['Evan Katz', 'Macon Blair']",Small Crimes by Dave Zeltserman,"['David Lancaster', 'Stephanie Wilcox']","['Nikolaj Coster-Waldau', 'Gary Cole', 'Molly Parker', 'Macon Blair', 'Pat Healy', 'Jacki Weaver', 'Robert Forster']",Andrew Wheeler,Josh Ethier,"['Will Blair', 'Brooke Blair']","['Rooks Nest Entertainment', 'Fairmount Films', 'Rumble Films']",Netflix,"['March 11, 2017 ', 'April 28, 2017 ']",95 minutes,United States,,,$1.4 million,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Handsome,Jeff Garlin,,,Brad Morris Andrew Secunda,Jeff Garlin Natasha Lyonne Amy Sedaris Leah Remini Christine Woods Steven Weber,Jason Blount,Jon Corn,Ben Folds,,Netflix,,81 minutes,United States,,,,Jeff Garlin Andrea Seigel,JZM Films,"['May 5, 2017']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Blame!,Hiroyuki Seshita,Sadayuki Murai,Blame! by Tsutomu Nihei,Shuzo John Shiota,Takahiro Sakurai Kana Hanazawa Sora Amamiya Mamoru Miyano Aya Suzaki Nobunaga Shimazaki,Mitsunori Kataama,Hiromi Amanai,Yugo Kanno,,Netflix,,106 minutes,Japan,,,,,Polygon Pictures,"['May 20, 2017']",Japanese,,Tsutomu Nihei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,War Machine,David Michôd,,The Operators by Michael Hastings,"['Brad Pitt', 'Dede Gardner', 'Jeremy Kleiner', 'Ted Sarandos', 'Ian Bryce']","['Brad Pitt', 'Anthony Michael Hall', 'Anthony Hayes', 'Topher Grace', 'Will Poulter', 'Tilda Swinton', 'Ben Kingsley']",Dariusz Wolski,Peter Sciberras,"['Nick Cave', 'Warren Ellis']","['Plan B Entertainment', 'Blue-Tongue Films']",Netflix,"['May 24, 2017 ', 'May 26, 2017 ']",122 minutes,United States,,$60 million,,David Michôd,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Shimmer Lake,Oren Uziel,,,"['Adam Saunders', 'Britton Rizzio']","['Benjamin Walker', 'Wyatt Russell', 'Rainn Wilson', 'Adam Pally', 'Mark Rendall', 'John Michael Higgins', 'Ron Livingston', 'Stephanie Sigman', 'Rob Corddry']",Jarin Blaschke,Blake Maniquis,Joseph Trapanese,"['Footprint Features', 'Writ Large']",Netflix,,83 minutes,,,,,Oren Uziel,,"['June 9, 2017']",English,"['United States', 'Canada']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Okja,Bong Joon-ho,"['Bong Joon-ho', 'Jon Ronson']",,"['Dede Gardner', 'Jeremy Kleiner', 'Lewis Taewan Kim', 'Dooho Choi', 'Seo Woo-sik', 'Bong Joon-ho', 'Ted Sarandos']","['Tilda Swinton', 'Paul Dano', 'Ahn Seo-hyun', 'Byun Hee-bong', 'Steven Yeun', 'Lily Collins', 'Yoon Je-moon', 'Shirley Henderson', 'Daniel Henshall', 'Devon Bostick', 'Choi Woo-shik', 'Giancarlo Esposito', 'Jake Gyllenhaal']",Darius Khondji,Yang Jin-mo,Jung Jae-il,"['Plan B Entertainment', 'Lewis Pictures', 'Kate Street Picture Company']","['Netflix ', 'Next Entertainment World ']","['May 19, 2017 ', 'June 28, 2017 ', 'June 29, 2017 ']",120 minutes,,"['English', 'Korean']",$50 million,$2 million,,,,,"['South Korea', 'United States']",Bong Joon-ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,To the Bone,Marti Noxon,,,"['Bonnie Curtis', 'Karina Miller', 'Julie Lynn']","['Lily Collins', 'Keanu Reeves', 'Carrie Preston', 'Lili Taylor', 'Alex Sharp', 'Liana Liberato']",Richard Wong,Elliot Greenberg,Fil Eisler,"['AMBI Group', 'Sparkhouse Media', 'Foxtail Entertainment', 'Mockingbird Pictures', 'To The Bone Productions']",Netflix,"['January 22, 2017 ', 'July 14, 2017 ']",108 minutes,United States,,,,Marti Noxon,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,The Incredible Jessica James,James C. Strouse,,,Michael B. Clark Alex Turtletaub,Jessica Williams Chris O'Dowd Noël Wells Lakeith Stanfield Megan Ketch Zabryna Guevara,Sean McElwee,Jesse Gordon,Keegan DeWitt,,Netflix,"['January 27, 2017 ', 'July 28, 2017 ']",83 minutes,United States,,,,James C. Strouse,Beachside Films,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Naked,Michael Tiddes,Cory Koller Marlon Wayans Rick Alvarez,Naken by Torkel Knutsson Mårten Knutsson,Ted Sarandos Marlon Wayans Rick Alvarez Todd Garner Ryan Lewis,Marlon Wayans Regina Hall Loretta Devine J.T. Jackson Eliza Coupe Scott Foley Dave Sheridan Neil Brown Jr. Brian McKnight Dennis Haysbert,David Ortkiese,Lawrence Jordan,David Newman,Broken Road Productions Baby Way Productions,Netflix,,96 minutes,United States,,,,,,"['August 11, 2017']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Death Note,Adam Wingard,"['Charles Parlapanides', 'Vlas Parlapanides', 'Jeremy Slater']","['Tsugumi Ohba', 'Takeshi Obata']","['Roy Lee', 'Dan Lin', 'Masi Oka', 'Jason Hoffs', 'Ted Sarandos']","['Nat Wolff', 'LaKeith Stanfield', 'Margaret Qualley', 'Shea Whigham', 'Paul Nakauchi', 'Jason Liles', 'Willem Dafoe']",David Tattersall,Louis Cioffi,"['Atticus Ross', 'Leopold Ross']","['Netflix', 'Vertigo Entertainment', 'LP Entertainment']",Netflix,"['August 24, 2017 ', 'August 25, 2017 ']",100 minutes,United States,,$40 million,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Little Evil,Eli Craig,,,"['Jason Michael Berman', 'Scott Stuber']","['Evangeline Lilly', 'Adam Scott', 'Bridget Everett', 'Owen Atlas', 'Kyle Bornheimer', ""Chris D'Elia"", 'Donald Faison', 'Carla Gallo', 'Tyler Labine', 'Brad Williams', 'Clancy Brown', 'Sally Field']",Matthew Clark,Tia Nolan,Marco Beltrami Brandon Roberts Marcus Trumpp,"['Bluegrass Films', 'Mandalay Pictures']",Netflix,,95 minutes,United States,,$7.5 million,,Eli Craig,,"['September 1, 2017 ']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Reality High,Fernando Lebrija,,,Jane Fleming Mark Ordesky,Nesta Cooper Keith Powers,Pietro Zuercher,Radu Ion Amy McGrath,Ruwanga Samath,,Netflix,,99 minutes,United States,,,,Brandon Broussard Hudson Obayuwana Jana Savage,,"['September 8, 2017 ']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,First They Killed My Father,Angelina Jolie,"['Loung Ung', 'Angelina Jolie']",First They Killed My Father by Loung Ung,"['Angelina Jolie', 'Rithy Panh', 'Ted Sarandos', 'Michael Vieira']","['Sreymoch Sareum', 'Kompheak Phoeung', 'Socheata Sveng', 'Dara Heng', 'Kimhak Mun']",Anthony Dod Mantle,"['Xavier Box', 'Patricia Rommel']",Marco Beltrami,,Netflix,"['February 18, 2017 ', 'September 15, 2017 ']",136 minutes,,"['Khmer', 'English', 'French', 'Vietnamese']",$22 million,,,Jolie Pas,,,"['Cambodia', 'United States']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Gerald's Game,Mike Flanagan,,Gerald's Game by Stephen King,Trevor Macy,"['Carla Gugino', 'Bruce Greenwood', 'Carel Struycken', 'Henry Thomas', 'Kate Siegel']",Michael Fimognari,Mike Flanagan,The Newton Brothers,,Netflix,"['September 19, 2017 ', 'September 29, 2017 ']",103 minutes,United States,,,,"['Mike Flanagan', 'Jeff Howard']",Intrepid Pictures,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Our Souls at Night,Ritesh Batra,"['Scott Neustadter', 'Michael H. Weber']",Our Souls at Night by Kent Haruf,"['Robert Redford', 'Erin Simms', 'Finola Dwyer']","['Robert Redford', 'Jane Fonda']",Stephen Goldblatt,John F. Lyons,Elliot Goldenthal,"Netflix Wildwood Enterprises, Inc",Netflix,"['September 1, 2017 ', 'September 29, 2017 ']",101 minutes,United States,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Bomb Scared,Borja Cobeaga,,,,"['Javier Cámara', 'Julián López', 'Miren Ibarguren']",,,,"['Deluxe Spain', 'Mediapro', 'Netflix']",Netflix,,89 minutes,Spain,,,,"['Diego San José', 'Borja Cobeaga']",,"['October 12, 2017 ']",Spanish,,,Fe de etarras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,The Babysitter,McG,,,"['McG', 'Mary Viola', 'Zack Schiller']","['Samara Weaving', 'Judah Lewis', 'Hana Mae Lee', 'Robbie Amell', 'Bella Thorne']",Shane Hurlbut,"['Peter Gvozdas', 'Martin Bernfeld']",Douglas Pipes,"['Boies / Schiller Film Group Production', 'Wonderland Sound and Vision']",Netflix,,85 minutes,United States,,,"$404,923",Brian Duffield,,"['October 13, 2017 ']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,The Meyerowitz Stories (New and Selected),Noah Baumbach,,,"['Scott Rudin', 'Noah Baumbach', 'Lila Yacoub', 'Eli Bush']","['Adam Sandler', 'Ben Stiller', 'Dustin Hoffman', 'Emma Thompson']",Robbie Ryan,Jennifer Lame,Randy Newman,"['IAC Films', 'Scott Rudin Productions']",Netflix,"['May 21, 2017 ', 'October 13, 2017 ']",112 minutes,United States,,$11.4 million,"~$20,000",Noah Baumbach,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1922,Zak Hilditch,,['Stephen King'],Ross M. Dinerstein,"['Thomas Jane', 'Neal McDonough', 'Molly Parker']",Ben Richardson,Merlin Eden,Mike Patton,"['Campfire Productions', 'Mist Entertainment']",Netflix,"['September 23, 2017 ', 'October 20, 2017 ']",101 minutes,United States,,$5 million,,Zak Hilditch,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Wheelman,Jeremy Rush,,,"['Joe Carnahan', 'Craig Chapman', 'Frank Grillo', 'J. Todd Harris', 'Chady Eli Mattar', 'Myles Nestel', 'Scott C. Silver']","['Frank Grillo', 'Garret Dillahunt', 'Caitlin Carmichael', 'Wendy Moniz']",Juan Miguel Azpiroz,Padraic McKinley,"['Brooke Blair', 'Will Blair']","['The Solution Entertainment Group', 'WarParty Films']",Netflix,,82 minutes,United States,,$5 million,,Jeremy Rush,,"['October 20, 2017']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,The Killer,Marcelo Galvão,,,,"['Diogo Morgado', 'Nill Marcondes', 'Deto Montenegro', 'Maria de Medeiros', 'Étienne Chicot']",,,,,Netflix,,,Brazil,,,,,,['10 November 2017'],Portuguese,,Marcelo Galvão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,A Christmas Prince,Alex Zamm,,,Amy Krell,"['Rose McIver', 'Ben Lamb', 'Tom Knight', 'Sarah Douglas', 'Daniel Fathers', 'Alice Krige', 'Tahirah Sharif']",Viorel Sergovici,Marshall Harvey,Zack Ryan,,Netflix,,92 minutes,United States,,,,"['Karen Schaler', 'Nathan Atkins']",MPCA,"['November 17, 2017']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,El Camino Christmas,David E. Talbert,,,Kimberly Quinn Theodore Melfi,"['Luke Grimes', ""Vincent D'Onofrio"", 'Dax Shepard', 'Kurtwood Smith', 'Michelle Mylett', 'Emilio Rivera', 'Kimberly Quinn', 'Jessica Alba', 'Tim Allen']",Tim Suhrstedt,Troy Takaki,Christopher Lennertz,Goldenlight Films Brother,Netflix,,89 minutes,United States,,,,Christopher Wehner Theodore Melfi,,"['December 8, 2017']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Christmas Inheritance,Ernie Barbarash,,,David Anselmo,"['Eliza Taylor', 'Jake Lacy', 'Andie MacDowell', 'Michael Xavier', 'Neil Crone']",Peter Benison,Gordon McClellan,Terry Frewer,,Netflix,,104 minutes,Canada,,,,Dinah Eng,MPCA,"['December 15, 2017']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Bright,David Ayer,,,"['Eric Newman', 'David Ayer', 'Bryan Unkeless', 'Ted Sarandos']","['Will Smith', 'Joel Edgerton', 'Noomi Rapace', 'Lucy Fry', 'Édgar Ramírez', 'Ike Barinholtz']",Roman Vasyanov,['Michael Tronick'],David Sardy,"['Overbrook Entertainment', 'Trigger Warning Entertainment', 'Grand Electric']",Netflix,"['December 13, 2017 ', 'December 22, 2017 ']",118 minutes,United States,,$90–106.2 million,,Max Landis,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,My Own Man,David Sampliner,,,Edward Norton,,,,,"['Class 5 Films', 'Sixteen Tons Productions']",Netflix,,82 minutes,United States,,,,David Sampliner,,"['December 31, 2014']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"The Other One: The Long, Strange Trip of Bob Weir",Mike Fleiss,,,"['Marc Weingarten', 'Martin Hilton', 'Justin Kreutzmann', 'Sam Kropf']","['Trixie Garcia', 'Phil Lesh', 'Mickey Hart', 'Bill Kreutzmann', 'Mike Gordon', 'Jorma Kaukonen']",,Rich Fox,,,Netflix,,85 minutes,United States,,,,Sam Kropf,Next Entertainment,"May 22, 2015",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Hot Girls Wanted,"['Jill Bauer', 'Ronna Gradus']",,,"['Rashida Jones', 'Jill Bauer', 'Ronna Gradus', 'Brittany Huckabee']",,Ronna Gradus,Brittany Huckabee,Daniel Ahearn,,Netflix,"['January 24, 2015 ', 'May 29, 2015 ']",84 minutes,United States,,,,Brittany Huckabee,Two to Tangle Productions,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"What Happened, Miss Simone?",Liz Garbus,,,,,,,,,Netflix,"['January 22, 2015 ', 'June 26, 2015 ']",101 minutes,United States,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Tig,Kristina Goolsby Ashley York,,,Beachside Films,Tig Notaro,,Scott Evans,,,Netflix,,,United States,,,,Jennifer Arnold,Netflix,"July 17, 2015",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Keith Richards: Under the Influence,Morgan Neville,,,,,,,,,Netflix,,81 minutes,United States,,,,Steve Jordan Keith Richards Waddy Wachtel,,"['September 17, 2015 ']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Winter on Fire: Ukraine's Fight for Freedom,Evgeny Afineevsky,,Euromaidan protests,Evgeny Afineevsky Den Tolmor,,Various,Will Znidaric,Jasha Klebe,Netflix Afineevsky - Tolmor Productions Urkstream.tv SPN Productions Passion Pictures Campbell Grobman Films Rock Paper Scissors Entertainment,Netflix,3 September 2015  9 October 2015 ,102 minutes,,Ukrainian Russian English,,,Den Tolmor,,,,Ukraine United States United Kingdom,,,Cissy Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,My Beautiful Broken Brain,Sophie Robinson Lotje Sodderland,,,Sophie Robinson,,,,,,Netflix,,84 minutes,United Kingdom,,,,,,['21 November 2014 '],English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Team Foxcatcher,,,,David Bennett Jeff Callard,,,,John Kusiak,,Netflix,"['April 18, 2016 ', 'April 29, 2016']",90 minutes,United States,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Tony Robbins: I Am Not Your Guru,,,,Joe Berlinger Lisa Gray Kevin Huffman,Anthony Robbins Julianne Hough Maria Menounos Milana Vayntrub,,,,,Netflix,"['March 14, 2016 ', 'July 15, 2016']",115 minutes,United States,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,I'll Sleep When I'm Dead,Justin Krook,,,"['David Gelb', 'Matthew Weaver', 'Happy Walters', 'Matt Colon']",Steve Aoki,Michael Dwyer,"['Aaron I. Naar', 'Nicole Vaskell']",Duncan Thum,"['City Room Creative', 'Hyperion Media Group', 'MediaWeaver Productions', 'Fancy Film Post Services']","['Netflix', 'Relativity Media']",,79 minutes,United States,,,,,,"['August 19, 2016']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Extremis,Dan Krauss,,,Dan Krauss,,Dan Krauss,Jeff Gilbert,Justin Melland,,Netflix,,24 minutes,United States,,,,,f/8 Filmworks,"['April 17, 2016 ']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,The White Helmets,Orlando von Einsiedel,,,Joanna Natasegara,,Khaled Khateeb,,,Grain Media Violet Films,Netflix,,40 minutes,United Kingdom,English Arabic,,,,,16 September 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Audrie & Daisy,"['Bonni Cohen', 'Jon Shenk']",,,"['Richard Berge', 'Bonni Cohen', 'Sara Dosa']","['Audrie Pott', 'Daisy Coleman', 'Paige Parkhurst', 'Melinda Coleman']",Jon Shenk,Don Bernier,Tyler Strickland,,Netflix,"['January 25, 2016 ', 'September 23, 2016 ']",95 minutes,United States,,,,,Actual Films,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Amanda Knox,"['Rod Blackhurst', 'Brian McGinn']",,,"['Blackhurst', 'Mette Heide', 'Brian McGinn', 'Stephen Robert Morse']",,Rod Blackhurst,Matthew Hamachek,"['Danny Bensi', 'Saunder Jurriaans']",,Netflix,"['September 10, 2016 ', 'September 30, 2016 ']",92 minutes,United States,"English, Italian",,,"['Matthew Hamachek', 'Brian McGinn']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,13th,Ava DuVernay,,,"['Howard Barish', 'Ava DuVernay', 'Spencer Averick']",,"['Hans Charles', 'Kira Kelly']",Spencer Averick,Jason Moran,,Netflix,"['September 30, 2016 ', 'October 7, 2016 ']",100 minutes,United States,,$1 million,$566 ,"['Ava DuVernay', 'Spencer Averick']",Kandoo Films,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Sky Ladder: The Art of Cai Guo-Qiang,,,,,Ian Buruma Guo-Qiang Cai Wen-You Cai,,,,,Netflix,,76 minutes,United States,"English, Mandarin",,,,,"['October 14, 2016']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Into the Inferno,Werner Herzog,,,"['André Singer', 'Lucki Stipetic']",,['Peter Zeitlinger'],Joe Bini,,,Netflix,"['3 September 2016 ', '28 October 2016 ']",104 minutes,,,,,,,,English,United Kingdom Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,The Ivory Game,"['Richard Ladkani', 'Kief Davidson']",,,"['Walter Köhler', 'Kief Davidson', 'Wolfgang Knöpfler']",,Richard Ladkani,,,"Vulcan Productions Terra Mater Factual Studios, in association with Malaika Pictures, in association with Appian Way",,"['September 2, 2016 ', 'November 4, 2016 ']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
