,Title,Description,Genre,Rated,Type,Running Time,Release Date,Director,Cast,Country,Production Company,Wins_Nominations,IMDb Votes,IMDb Score
77,The Ivory Game,Wildlife activists in take on poachers in an effort to end illegal ivory trade in Africa.,Documentary,Not Rated,movie,112,2016-01-01,"['Richard Ladkani', 'Kief Davidson']","Andrea Crosta, Ian Stevenson, Prince William of Wales",Austria,"Vulcan Productions Terra Mater Factual Studios, in association with Malaika Pictures, in association with Appian Way",7 wins & 7 nominations,"3,434",7.8
78,Casting JonBenet,"In the months following the unsolved murder of 6-year-old beauty queen JonBenet Ramsey, responses were elicited from her Colorado hometown community, creating a work of art from the collective memories and mythologies the crime in...","Documentary, Crime, Drama",Mature Audiences,movie,80,2017-01-01,Kitty Green,"Hannah Cagwin, Aeona Cruz, Liv Bagley","United States, Australia, China","['Forensic Films', 'Symbolic Exchange', 'Meridian Entertainment']",2 wins & 8 nominations,"5,630",6.1
79,The Mars Generation,Aspiring teenage astronauts reveal that a journey to Mars is closer than you think.,Documentary,Not Rated,movie,97,2017-01-01,Michael Barnett,"Elsa Shiju, Bob Behnken, Alayna Bidlack",United States,,2 wins & 1 nomination,"1,023",6.5
80,Get Me Roger Stone,"A documentary exploring the life and career of notorious Republican dirty trickster and longtime Trump adviser, Roger Stone, who helped create the real estate mogul's political career.","Documentary, Biography",Mature Audiences,movie,92,2017-01-01,Dylan Bank Daniel DiMauro Morgan Pehme,"Roger Stone, Donald Trump, Jane Mayer",United States,,2 wins,"7,635",7.3
81,Laerte-se,"After living as a man for nearly 60 years, Laerte Coutinho, one of Brazil's most brilliant cartoonists, introduces herself to the world as a woman.",Documentary,Mature Audiences,movie,100,2017-01-01,Lygia Barbosa Eliane Brum,"Laerte Coutinho, Eliane Brum, Rafael Coutinho",Brazil,,,713,7.0
82,Joshua: Teenager vs. Superpower,"When the Chinese Communist Party backtracks on its promise of autonomy to Hong Kong, teenager Joshua Wong decides to save his city. Rallying thousands of kids to skip school and occupy the streets, Joshua becomes an unlikely leade...",Documentary,Mature Audiences,movie,79,2017-01-01,,"Agnes Chow, Joshua 'Chi-Fung' Wong",United States,,2 wins & 3 nominations,"1,652",7.3
83,CounterPunch,"The seasoned pro. The Olympic hopeful. The young up-and-comer. The ring is their home, and the titles are their dream. As boxing' popularity wanes, three fighters at different stages of their career make sacrifices to pursue their...","Documentary, Sport",Not Rated,movie,91,2017-01-01,,"Oscar De La Hoya, David Diamante, Bernard Hopkins",United States,,2 nominations,958,6.7
84,Nobody Speak: Trials of the Free Press,"The trial between Hulk Hogan and Gawker Media pitted privacy rights against freedom of the press, and raised important questions about how big money can silence media. This film is an examination of the perils and duties of the fr...",Documentary,Mature Audiences,movie,95,2017-01-01,Brian Knappenberger,"A.J. Daulerio, Hulk Hogan, Charles Harder","Netherlands, United States",Netflix First Look Media,4 nominations,"4,341",6.5
85,Chasing Coral,"Coral reefs around the world are vanishing at an unprecedented rate. A team of divers, photographers and scientists set out on a thrilling ocean adventure to discover why and to reveal the underwater mystery to the world.",Documentary,Not Rated,movie,93,2017-01-01,Jeff Orlowski,"Andrew Ackerman, Pim Bongaerts, Neal Cantin",United States,"['Exposure Labs', 'Argent Pictures', 'Code Blue Foundation', 'EarthSense Foundation', 'The Kendeda Fund', 'Sustainable Films']",7 wins & 18 nominations,"5,521",8.0
86,Icarus,"When Bryan sets out to uncover the truth about doping in sports, a chance meeting with a Russian scientist transforms his story from a personal experiment into a geopolitical thriller.","Documentary, Sport",Mature Audiences,movie,121,2017-01-01,Bryan Fogel,"Bryan Fogel, Dave Zabriskie, Don Catlin",United States,"['Alex Productions', 'Diamond Docs', 'Impact Partners']",Won 1 Oscar. 8 wins & 13 nominations total,"53,225",7.9
87,Resurface,"After years of nightmares, depression, and seizures, Iraq war veteran Bobby Lane could see no way out of his trauma other than suicide. Then he met Van Curaza, a former big wave surfer who since founded Operation Surf and dedicate...","Documentary, Short, Sport",Not Rated,movie,26,2017-01-01,Joshua Izenberg Wynn Padula,"Bobby Lane, Van Curaza, Martin Pollock",United States,,2 wins,493,6.9
88,Heroin(e),Three women fight to break the cycle one life at a time.,"Documentary, Short",Not Rated,movie,39,2017-01-01,Elaine McMillion Sheldon,"Jan Rader, Patricia Keller, Necia Freeman",United States,,Nominated for 1 Oscar. 1 win & 3 nominations total,"3,203",6.8
