,Title,Description,Genre,Rated,Type,Running Time,Release Date,Director,Cast,Country,Production Company,Wins_Nominations,IMDb Votes,IMDb Score
89,Strong Island,"When filmmaker Yance Ford investigates the 1992 murder of a young Black man, it becomes an achingly personal journey since the victim, 24-year-old William Ford Jr., was the filmmaker's brother.","Documentary, Crime",Mature Audiences,movie,107,2017-01-01,Yance Ford,"Yance Ford, Harvey Walker, Kevin Myers","United States, Denmark",Yanceville Films Louverture Films,Nominated for 1 Oscar. 13 wins & 11 nominations total,"4,049",6.4
90,Gaga: Five Foot Two,This documentary goes behind the scenes with pop provocateur Lady Gaga as she releases a bold new album and prepares for her Super Bowl halftime show.,"Documentary, Music",Mature Audiences,movie,100,2017-01-01,Chris Moukarbel,"Sandra Amador, Michael Bearden, Tony Bennett",United States,"['Live Nation Productions', 'Mermaid Films', 'Permanent Wave']",4 wins & 1 nomination,"13,472",7.0
91,Long Shot,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks ...","Comedy, Romance",Mature Audiences,movie,40,2017-01-01,Jacob LaMendola,"Charlize Theron, Seth Rogen, June Diane Raphael","United States, Canada, Colombia",Hayden5,5 wins & 13 nominations,"117,062",6.8
92,The Death and Life of Marsha P. Johnson,"Victoria Cruz investigates the mysterious 1992 death of black gay rights activist and Stonewall veteran, Marsha P. Johnson. Using archival interviews with Johnson, and new interviews with Johnson's family, friends and fellow activ...","Documentary, Biography",Mature Audiences,movie,105,2017-01-01,David France,"Kurt Wolfe, Sue Yacka, Catherine Shugrue Dos Santos","Greece, United States",Public Square Films,4 wins & 5 nominations,"3,131",7.2
93,Kingdom of Us,A father's suicide sends a family of eight on a journey through childhood memories and treacherous emotional waters in this poignant documentary.,"Documentary, Drama",Not Rated,movie,109,2017-01-01,,"Jamie-Jodie Shanks, Kacie-Kimie Shanks, Lorie-Lanie Shanks",United Kingdom,,Nominated for 1 BAFTA Award1 win & 2 nominations total,960,6.9
94,One of Us,"Penetrating the insular world of New York's Hasidic community, focusing on three individuals driven to break away despite threats of retaliation.",Documentary,Not Rated,movie,95,2017-01-01,Heidi Ewing Rachel Grady,"Etty, Chani Getter, Ari Hershkowitz",United States,Loki Films,2 wins & 5 nominations,"6,988",7.0
95,Joan Didion: The Center Will Not Hold,"Literary icon Joan Didion reflects on her remarkable career and personal struggles in this intimate documentary directed by her nephew, Griffin Dunne.","Documentary, Biography",Not Rated,movie,94,2017-01-01,,"Joan Didion, Griffin Dunne, Anna Wintour",United States,,4 nominations,"2,963",7.5
96,Jim & Andy: The Great Beyond,A behind-the-scenes look at how Jim Carrey adopted the persona of idiosyncratic comedian Andy Kaufman on the set of Man on the Moon (1999).,Documentary,Mature Audiences,movie,94,2017-01-01,Chris Smith,"Jim Carrey, Danny DeVito, Milos Forman","United States, Canada",VICE Films,Nominated for 1 Primetime Emmy. 3 wins & 7 nominations total,"27,387",7.6
97,Saving Capitalism,"SAVING CAPITALISM is a documentary film that follows former Secretary of Labor and Professor, Robert Reich, as he takes his book and his views to the heart of conservative America to speak about our economic system and present big...",Documentary,Parental Guidance,movie,73,2017-01-01,,"Robert Reich, Darvin Bentlage, Annie Presley",United States,,1 nomination,"3,350",6.8
98,Cuba and the Cameraman,"Life in Cuba for three struggling families over the course of 45 years, from the cautious optimism of the early 1970s to the harrowing 1990s after the fall of the Soviet Union and the 2016 death of Fidel Castro.",Documentary,Not Rated,movie,114,2017-01-01,Jon Alpert,,United States,,1 nomination,"5,367",8.2
99,Voyeur,"Journalism icon Gay Talese reports on Gerald Foos, the owner of a Colorado motel, who allegedly secretly watched his guests with the aid of specially designed ceiling vents, peering down from an ""observation platform"" he built in ...","Documentary, Crime",Mature Audiences,movie,96,2017-01-01,Myles Kane Josh Koury,"Gay Talese, Gerald Foos, Nan Talese",United States,Brooklyn Underground Films Chicago Media Project Impact Partners Public Record,,"6,710",6.1
100,A Very Murray Christmas,Bill Murray worries no one will show up to his TV show due to a terrible snowstorm in New York City.,"Comedy, Music, Musical",Mature Audiences,movie,56,2015-01-01,Sofia Coppola,"Bill Murray, Paul Shaffer, Michael Cera",United States,American Zoetrope,Nominated for 2 Primetime Emmys. 8 nominations total,"15,994",5.5
103,"Michael Bolton's Big, Sexy Valentine's Day Special","After Santa tells Michael Bolton that he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a sexy telethon to get the world to start making love.","Comedy, Music, Musical",Mature Audiences,movie,54,2017-01-01,Akiva Schaffer Scott Aukerman,"Michael Bolton, Sarah Shahi, Adam Scott",United States,,1 nomination,"2,240",6.8
104,Rodney King,Roger Guenveur Smith performs his one man show focusing on the life and times of Rodney King.,"Comedy, Drama",Mature Audiences,movie,52,2017-01-01,,Roger Guenveur Smith,United States,,1 nomination,631,6.2
106,The Polka King,Local Pennsylvania polka legend Jan Lewan develops a plan to get rich that shocks his fans and lands him in jail.,"Biography, Comedy, Drama",Mature Audiences,movie,95,2017-01-01,Maya Forbes,"Jack Black, Jenny Slate, Jason Schwartzman",United States,Red Hour Productions Electric Dynamite Permut Presentations ShivHans Pictures,1 win,"11,569",6.0
107,Step Sisters,"To get the college dean's backing for Harvard, Jamilah has to teach girls at a white sorority to step dance.",Comedy,Parental Guidance,movie,108,2018-01-01,Charles Stone III,"Megalyn Echikunwoke, Eden Sher, Lyndon Smith",United States,['Los Angeles Media Fund'],,"4,774",5.5
108,Open House,"A couple on the verge of a nasty divorce attempt to sell their empty love nest and move on with their lives, separately. After a successful open house they are horrified to discover, days later, that a potential buyer didn't leave...","Crime, Drama, Thriller",Mature Audiences,movie,94,2010-01-01,"['Matt Angel', 'Suzanne Coote']","Brian Geraghty, Rachel Blanchard, Anna Paquin",United States,,2 nominations,"2,579",4.3
109,A Futile and Stupid Gesture,"In the 1970s and '80s, National Lampoon's success and influence creates a new media empire overseen in part by the brilliant and troubled Douglas Kenney.","Biography, Comedy",Mature Audiences,movie,101,2018-01-01,David Wain,"Frank Gingerich, Morgan Gingerich, Annette O'Toole",United States,"['Abominable Pictures', 'Principato-Young Entertainment']",2 nominations,"17,438",6.7
110,The Cloverfield Paradox,"Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality.","Action, Adventure, Horror",Parental Guidance,movie,102,2018-01-01,Julius Onah,"Gugu Mbatha-Raw, David Oyelowo, Daniel Brühl",United States,"['Paramount Pictures', 'Bad Robot Productions']",1 nomination,"110,466",5.5
111,When We First Met,"Noah meets Avery at a Halloween party and falls in love but gets friend-zoned. 3 years later, she's engaged to someone else. Noah returns in a time machine to fix things.","Comedy, Fantasy, Romance",Mature Audiences,movie,97,2018-01-01,Ari Sandel,"Adam Devine, Alexandra Daddario, Shelley Hennig",United States,"['Footprint Features', 'MXN Entertainment', 'Wonderland Sound and Vision']",,"52,542",6.4
112,Love Per Square Foot,"Individually, Sanjay and Karina don't earn enough to be able to buy a home, so they enter into a marriage of convenience.","Comedy, Romance",Mature Audiences,movie,133,2018-01-01,Anand Tiwari,"Vicky Kaushal, Angira Dhar, Alankrita Sahai",India,RSVP Movies,1 nomination,"8,810",7.2
113,Irreplaceable You,A man and a woman who have known each other since age 8 are destined to be together until death does them part.,"Comedy, Drama, Romance",Mature Audiences,movie,96,2018-01-01,Stephanie Laing,"Gugu Mbatha-Raw, Michiel Huisman, Steve Coogan",United States,"['ACE', 'Tropper Ink Productions', 'Rocliffe Productions', 'PYPO', 'Opposite Field Pictures', 'The Exchange']",,"10,176",6.4
114,Mute,A mute bartender goes up against his city's gangsters in an effort to find out what happened to his missing partner.,"Mystery, Sci-Fi, Thriller",Mature Audiences,movie,126,2018-01-01,Duncan Jones,"Alexander Skarsgård, Paul Rudd, Justin Theroux","United Kingdom, Germany","['Liberty Films UK', 'Studio Babelsberg']",1 nomination,"37,338",5.4
116,Benji,"Two school kids strike up a friendship with an orphaned puppy named Benji. When danger befalls them and they end up kidnapped by robbers who are in over their heads, Benji and his scruffy sidekick come to the rescue.","Crime, Drama, Family",Parental Guidance,movie,87,2018-01-01,Brandon Camp,"Gabriel Bateman, Darby Camp, Kiele Sanchez","United Arab Emirates, United States","['Blumhouse Productions', 'Meridian Entertainment', 'Imagenation Abu Dhabi', 'Cohen Kids', 'Anton Capital Entertainment', 'Camp Brand', 'Symbolic Exchange']",,"5,270",6.3
117,"Game Over, Man!",Three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists.,"Action, Comedy",Mature Audiences,movie,101,2018-01-01,Kyle Newacheck,"Adam Devine, Anders Holm, Blake Anderson",United States,"['Mail Order Company', 'Point Grey Pictures', 'Scott Rudin Productions']",2 nominations,"32,431",5.4
118,Paradox,A tough Hong Kong cop's 16 y.o. daughter disappears in Pattaya. He goes to Thailand to find her and must deal with corrupt cops but an honest one helps him track down culprits involved in illegal organ trafficking.,"Action, Adventure, Crime",Not Rated,movie,73,2018-01-01,Daryl Hannah,"Louis Koo, Yue Wu, Ka-Tung Lam","China, Hong Kong",,6 wins & 10 nominations,"4,240",6.5
119,Roxanne Roxanne,"In the late 80s/ early 1990s, the most feared battle MC in Queens, New York, was a fierce teenage girl with the weight of the world on her shoulders. At the age of 14, Lolita ""Roxanne Shanté"" Gooden was well on her way to becoming...","Biography, Drama, Music",Mature Audiences,movie,100,2017-01-01,Michael Larnell,"Chanté Adams, Nia Long, Mahershala Ali",United States,"['I am OTHER', 'Significant Productions']",1 win & 4 nominations,"3,554",6.2
120,Happy Anniversary,A couple on their three-year anniversary need to decide whether to stay together or call it quits.,Comedy,Mature Audiences,movie,78,2018-01-01,Jared Stern,"Noël Wells, Ben Schwartz, Rahul Kohli",United States,"['Industry Entertainment', 'Odenkirk Provissiero Entertainment', 'A Stern Talking To']",,"4,462",5.7
121,First Match,"Hardened by years in foster care, a teenage girl from Brooklyn's Brownsville neighborhood decides that joining the boys' wrestling team is the only way back to her estranged father.","Drama, Sport",Mature Audiences,movie,102,2018-01-01,Olivia Newman,"Elvire Emanuelle, Yahya Abdul-Mateen II, Colman Domingo",United States,Clubhouse Pictures,2 wins & 1 nomination,"2,481",6.4
122,6 Balloons,A woman (Jacobson) learns her brother (Franco) has relapsed on heroin.,Drama,Mature Audiences,movie,74,2018-01-01,Marja-Lewis Ryan,"Abbi Jacobson, Dave Franco, Charlotte Carel",United States,"['Campfire', 'Free Association']",1 nomination,"4,407",5.9
123,Amateur,"An amnesiac wakes up on an NYC alley. He meets Isabelle, an ex nun now erotic writer, at a diner and follows her home. She helps him find his identity. Then there's Sofia, the porn star.","Comedy, Crime, Drama",Mature Audiences,movie,96,1995-01-01,Ryan Koo,"Isabelle Huppert, Martin Donovan, Elina Löwensohn","United States, United Kingdom, France","['Mandalay Pictures', 'Netflix']",1 win & 2 nominations,"6,832",6.8
124,Come Sunday,Evangelist Carlton Pearson is ostracized by his church for preaching that there is no Hell.,"Biography, Drama",Mature Audiences,movie,106,2018-01-01,Joshua Marston,"Chiwetel Ejiofor, Gerard Catus, Allie McCulloch",United States,"['Apparatus Productions', 'Endgame Entertainment', 'This American Life']",,"2,465",6.0
125,I Am Not an Easy Man,A shameless chauvinist gets a taste of his own medicine when he wakes up in a world dominated by women and locks horns with a powerful female author.,"Comedy, Fantasy, Romance",Not Rated,movie,98,2018-01-01,Éléonore Pourriat,"Vincent Elbaz, Marie-Sophie Ferdane, Pierre Benezit",France,"['Autopilot Entertainment', 'Film Invaders', 'LOVEMYTV', 'MademoiselleFilms']",1 win,"15,472",6.3
126,Dude,A group of teenage girlfriends deal with their impending graduation from high school.,"Comedy, Drama",Mature Audiences,movie,97,2018-01-01,Olivia Milch,"Lucy Hale, Kathryn Prescott, Alexandra Shipp",United States,"['June Pictures', 'Mosaic Media Group', 'RadicalMedia', 'Puny Voice']",,"7,477",5.1
127,Candy Jar,Dueling high school debate champs who are at odds on just about everything forge ahead with ambitious plans to get into the colleges of their dreams.,Comedy,Mature Audiences,movie,92,2018-01-01,Ben Shelton,"Jacob Latimore, Sami Gayle, Tom Bergeron",United States,Netflix,,"5,444",5.8
128,The Week Of,"Two fathers with opposing personalities come together to celebrate the wedding of their children. They are forced to spend the longest week of their lives together, and the big day cannot come soon enough.",Comedy,Mature Audiences,movie,116,2018-01-01,Robert Smigel,"Adam Sandler, Chris Rock, Steve Buscemi",United States,Happy Madison Productions,,"23,900",5.2
