,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score
108,Benji,"Two school kids strike up a friendship with an orphaned puppy named Benji. When danger befalls them and they end up kidnapped by robbers who are in over their heads, Benji and his scruffy sidekick come to the rescue.","Crime, Drama, Family",Parental Guidance,87,2018-01-01,Brandon Camp,"Gabriel Bateman, Darby Camp, Kiele Sanchez",United Arab Emirates,1,Blumhouse Productions,1,0,0,5270,6.3
109,"Game Over, Man!",Three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists.,"Action, Comedy",Mature Audiences,101,2018-01-01,Kyle Newacheck,"Adam Devine, Anders Holm, Blake Anderson",United States,0,Mail Order Company,1,0,2,32431,5.4
110,Paradox,A tough Hong Kong cop's 16 y.o. daughter disappears in Pattaya. He goes to Thailand to find her and must deal with corrupt cops but an honest one helps him track down culprits involved in illegal organ trafficking.,"Action, Adventure, Crime",Not Rated,73,2018-01-01,Daryl Hannah,"Louis Koo, Yue Wu, Ka-Tung Lam",China,1,No Production Company Listed,1,6,10,4240,6.5
111,Roxanne Roxanne,"In the late 80s/ early 1990s, the most feared battle MC in Queens, New York, was a fierce teenage girl with the weight of the world on her shoulders. At the age of 14, Lolita ""Roxanne Shanté"" Gooden was well on her way to becoming...","Biography, Drama, Music",Mature Audiences,100,2017-01-01,Michael Larnell,"Chanté Adams, Nia Long, Mahershala Ali",United States,0,I am OTHER,1,1,4,3554,6.2
112,Happy Anniversary,A couple on their three-year anniversary need to decide whether to stay together or call it quits.,Comedy,Mature Audiences,78,2018-01-01,Jared Stern,"Noël Wells, Ben Schwartz, Rahul Kohli",United States,0,Industry Entertainment,1,0,0,4462,5.7
113,First Match,"Hardened by years in foster care, a teenage girl from Brooklyn's Brownsville neighborhood decides that joining the boys' wrestling team is the only way back to her estranged father.","Drama, Sport",Mature Audiences,102,2018-01-01,Olivia Newman,"Elvire Emanuelle, Yahya Abdul-Mateen II, Colman Domingo",United States,0,Clubhouse Pictures,0,2,1,2481,6.4
114,6 Balloons,A woman (Jacobson) learns her brother (Franco) has relapsed on heroin.,Drama,Mature Audiences,74,2018-01-01,Marja-Lewis Ryan,"Abbi Jacobson, Dave Franco, Charlotte Carel",United States,0,Campfire,1,0,1,4407,5.9
115,Amateur,"An amnesiac wakes up on an NYC alley. He meets Isabelle, an ex nun now erotic writer, at a diner and follows her home. She helps him find his identity. Then there's Sofia, the porn star.","Comedy, Crime, Drama",Mature Audiences,96,1995-01-01,Ryan Koo,"Isabelle Huppert, Martin Donovan, Elina Löwensohn",United States,1,Mandalay Pictures,1,1,2,6832,6.8
116,Come Sunday,Evangelist Carlton Pearson is ostracized by his church for preaching that there is no Hell.,"Biography, Drama",Mature Audiences,106,2018-01-01,Joshua Marston,"Chiwetel Ejiofor, Gerard Catus, Allie McCulloch",United States,0,Apparatus Productions,1,0,0,2465,6.0
117,I Am Not an Easy Man,A shameless chauvinist gets a taste of his own medicine when he wakes up in a world dominated by women and locks horns with a powerful female author.,"Comedy, Fantasy, Romance",Not Rated,98,2018-01-01,Éléonore Pourriat,"Vincent Elbaz, Marie-Sophie Ferdane, Pierre Benezit",France,0,Autopilot Entertainment,1,1,0,15472,6.3
118,Dude,A group of teenage girlfriends deal with their impending graduation from high school.,"Comedy, Drama",Mature Audiences,97,2018-01-01,Olivia Milch,"Lucy Hale, Kathryn Prescott, Alexandra Shipp",United States,0,June Pictures,1,0,0,7477,5.1
119,Candy Jar,Dueling high school debate champs who are at odds on just about everything forge ahead with ambitious plans to get into the colleges of their dreams.,Comedy,Mature Audiences,92,2018-01-01,Ben Shelton,"Jacob Latimore, Sami Gayle, Tom Bergeron",United States,0,Netflix,0,0,0,5444,5.8
120,The Week Of,"Two fathers with opposing personalities come together to celebrate the wedding of their children. They are forced to spend the longest week of their lives together, and the big day cannot come soon enough.",Comedy,Mature Audiences,116,2018-01-01,Robert Smigel,"Adam Sandler, Chris Rock, Steve Buscemi",United States,0,Happy Madison Productions,0,0,0,23900,5.2
121,Sometimes,"Seven People anxiously wait for their HIV results in a clinic, bribe a clinical staff to know their results in advance. What is the result ?",Drama,Mature Audiences,92,2018-01-01,Priyadarshan,"Prakash Raj, Ashok Selvan, Nassar",India,0,Think Big Studios,0,3,0,904,7.2
122,Forgive Us Our Debts,A man struggling under the crushing weight of debt must work as a tax collector to pay off his creditors.,Drama,Mature Audiences,104,2018-01-01,Antonio Morabito,"Claudio Santamaria, Marco Giallini, Jerzy Stuhr",Italy,1,La Luna,1,0,0,1692,6.2
123,The Kissing Booth,A high school student is forced to confront her secret crush at a kissing booth.,"Comedy, Romance",Mature Audiences,105,2018-01-01,Vince Marcello,"Joey King, Jacob Elordi, Joel Courtney",United Kingdom,1,Komixx Entertainment,0,1,2,90004,5.9
124,Cargo,"After an epidemic spreads all over Australia, a father searches for someone willing to protect his daughter.","Drama, Horror, Sci-Fi",Mature Audiences,105,2017-01-01,Ben Howling,"Simone Landers, Martin Freeman, Marlee Jane McPherson-Dobbins",Australia,0,Umbrella Entertainment,1,1,17,46733,6.3
125,Ibiza,A young American woman and her two best friends seek out a hot DJ in Spain.,"Comedy, Romance",Mature Audiences,94,2018-01-01,Alex Richanbach,"Gwen Elizabeth Duchon, Gillian Jacobs, Michaela Watkins",United States,0,Gary Sanchez Productions,1,0,0,18583,5.2
126,Sara's Notebook,A Spanish woman travels to darkest heart of Africa looking for her long-time missed younger sister.,"Adventure, Drama, Mystery",Mature Audiences,115,2018-01-01,Norberto López Amado,"Belén Rueda, Marian Álvarez, Iván Mendes",Spain,0,No Production Company Listed,1,1,0,2866,5.9
127,Alex Strangelove,"Alex, high school class president, nerd and a straight A student, has been dating Claire a long time. They decide to sleep together but then he meets a gay guy and he's confused.","Comedy, Drama, Romance",Mature Audiences,99,2018-01-01,Craig Johnson,"Michael Abela, Brendan Archer, Joshua Barragan",United States,0,STXfilms,1,0,0,19121,6.3
128,Set It Up,Two corporate executive assistants hatch a plan to match-make their two bosses.,"Comedy, Romance",Mature Audiences,105,2018-01-01,Claire Scanlon,"Zoey Deutch, Glen Powell, Lucy Liu",United States,0,Treehouse Pictures,0,0,1,60026,6.5
129,Lust Stories,"Four short films by four of India's biggest directors exploring love, sex and relationships in modern India.","Drama, Romance",Mature Audiences,120,2018-01-01,Anurag Kashyap,"Kiara Advani, Vicky Kaushal, Bhumi Pednekar",India,0,RSVP Movies,0,1,3,12671,6.4
130,"To Each, Her Own","Simone plans to inform her conservative Jewish family that she's a lesbian, but as she proceeds with coming out she finds herself attracted to a man.","Comedy, Drama",Mature Audiences,95,2018-01-01,Myriam Aziza,"Sarah Stern, Jean-Christophe Folly, Julia Piaton",France,0,Netflix,0,0,0,1898,5.4
131,Calibre,A shocking deed turned their weekend trip into a nightmare. Now their only hope is to swallow their paranoia and act normal.,"Drama, Thriller",Mature Audiences,101,2018-01-01,Matt Palmer,"Jack Lowden, Martin McCann, Tony Curran",United Kingdom,0,Wellington Films,0,2,7,32076,6.8
132,Tau,"A woman is held captive by a scientist in a futuristic smart house, and hopes to escape by reasoning with the Artificial Intelligence that controls the house.","Horror, Sci-Fi, Thriller",Mature Audiences,97,2018-01-01,Federico D'Alessandro,"Maika Monroe, Ed Skrein, Gary Oldman",United States,0,Waypoint Entertainment,1,0,1,33556,5.8
133,The Legacy of a Whitetail Deer Hunter,The great hunter Buck Ferguson (Josh Brolin) and his trusted cameraman Don (Danny McBride) set out for an epic weekend adventure to reconnect with Buck's young son (Montana Jordan).,"Comedy, Drama",Mature Audiences,83,2018-01-01,Jody Hill,"Josh Brolin, Danny McBride, Montana Jordan",United States,0,Rough House Pictures,1,0,0,4144,5.5
134,How It Ends,"In the midst of an apocalypse, a man struggles to reach his pregnant wife, who is thousands of miles away.","Action, Drama, Horror",Mature Audiences,114,2018-01-01,David M. Rosenthal,"Theo James, Kat Graham, Nancy Sorel",United States,0,Paul Schiff Productions,1,0,5,56402,5.0
135,Father of the Year,"Before NYC, college valedictorian Ben visits his trailer park loser dad. Same evening Ben argues with Larry about whose dad can kick the other dad's ass. Loser dad hears of this and tries to beat up doormat dad and chaos follows.",Comedy,Mature Audiences,94,2018-01-01,Tyler Spindel,"David Spade, Nat Faxon, Joey Bragg",United States,0,Happy Madison Productions,0,0,0,12302,5.2
