,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score,Plot
261,A Christmas Prince: The Royal Baby,"It's Christmastime in Aldovia, and a royal baby is on the way. Amber and Richard host royals from a distant kingdom to renew a sacred truce, but when the treaty vanishes, peace is jeopardized and an ancient curse threatens their f...","Family, Romance",Parental Guidance,85,2019-12-05,John Schultz,"Rose McIver, Ben Lamb, Alice Krige",United States,0,MPCA,0,0,0,7423.0,5.4,"It's Christmastime in Aldovia, and a a royal baby is on the way. Queen Amber (Rose McIver) and King Richard (Ben Lamb) are getting ready to take some time off to prepare for their first child's arrival, but first they have to host King Tai (Kevin Shen) and Queen Ming (Momo Yeung) of Penglia to renew a 600-year-old sacred truce. But when a snowstorm hits on Christmas Eve and the priceless treaty goes missing, peace is jeopardized and an ancient curse looms. Amber will have to figure out who the thief is before before the clock strikes midnight, for the safety of her family and the kingdom."
262,Marriage Story,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,"Drama, Romance",Mature Audiences,137,2019-08-29,Noah Baumbach,"Adam Driver, Scarlett Johansson, Julia Greer",United Kingdom,1,Heyday Films,0,127,271,328827.0,7.9,"MARRIAGE STORY is Academy Award nominated filmmaker Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together. The film stars Scarlett Johansson and Adam Driver. Laura Dern, Alan Alda, and Ray Liotta co-star."
263,6 Underground,"Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.","Action, Thriller",Mature Audiences,128,2019-12-10,Michael Bay,"Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo",United States,0,Skydance,1,2,12,188478.0,6.1,"What's the best part of being dead? It's the freedom. The freedom to fight the evil which lurks in our world. 6 Underground's group of unnamed individuals have chosen to change the future. The team's brought together by enigmatic leader code-named 'One', whose sole mission is to ensure that, he and his fellow teammates will have their actions remembered."
264,The Two Popes,"Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church.","Biography, Comedy, Drama",Parental Guidance,125,2019-08-31,Fernando Meirelles,"Jonathan Pryce, Anthony Hopkins, Juan Minujín",United Kingdom,1,Rideback,0,11,57,129156.0,7.6,"An intimate story of one of the most dramatic transitions of power in the last 2,000 years. Frustrated with the direction of the church, Cardinal Bergoglio (Jonathan Pryce) requests permission to retire in 2012 from Pope Benedict (Anthony Hopkins). Instead, facing scandal and self-doubt, the introspective Pope Benedict summons his harshest critic and future successor to Rome to reveal a secret that would shake the foundations of the Catholic Church. Behind Vatican walls, a struggle commences between both tradition and progress, guilt and forgiveness, as these two very different men confront their pasts in order to find common ground and forge a future for a billion followers around the world. Inspired by true events."
265,Como caído del cielo,Mexican legend Pedro Infante receives another opportunity on earth to redeem himself for his forays with women and earn heaven in the body of an imitator.,"Comedy, Drama, Musical",Mature Audiences,112,2019-12-24,José Pepe Bojórquez,"Omar Chaparro, Ana Claudia Talancón, Stephanie Cayo",Mexico,0,Caldera/De Fanti Entertainment,1,0,0,1538.0,6.5,Mexican legend Pedro Infante receives another opportunity on earth to redeem himself for his forays with women and earn heaven in the body of an imitator.
266,The App,"Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, Niccolò becomes obsessed and sent into a self-destructive spiral.","Drama, Sci-Fi, Thriller",Not Rated,79,2019-12-26,Elisa Fuksas,"Salvatore Costa, Vincenzo Crea, Jessica Cressy",Italy,0,Indiana Production Company,1,0,0,1401.0,2.8,"Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, Niccolò becomes obsessed and sent into a self-destructive spiral."
267,ReMastered: Massacre at the Stadium,"This documentary questions who killed Victor Jara, Chilean musician and activist who died during the dictatorship in his country.","Documentary, Drama",Mature Audiences,64,2019-01-11,B.J. Perlmutt,"Víctor Jara, Joan Jara, Pascale Bonnefoy",United States,0,No Production Company Listed,1,0,2,837.0,7.3,"This documentary questions who killed Victor Jara, Chilean musician and activist who died during the dictatorship in his country."
268,Fyre,An exclusive behind the scenes look at the infamous unraveling of the Fyre music festival.,"Documentary, Crime, Music",Mature Audiences,97,2019-01-18,Chris Smith,"Billy McFarland, Jason Bell, Gabrielle Bluestone",United States,0,Jerry Media,1,0,6,50162.0,7.2,An exclusive behind the scenes look at the infamous unraveling of the Fyre music festival.
269,ReMastered: The Two Killings of Sam Cooke,An investigation into the circumstances and controversy surrounding Sam Cooke's murder.,"Documentary, Music",Mature Audiences,74,2019-02-08,Kelly Duane,"Sam Cooke, Quincy Jones, Smokey Robinson",United States,0,No Production Company Listed,1,0,1,2384.0,7.2,An investigation into the circumstances and controversy surrounding Sam Cooke's murder.
270,Period. End of Sentence.,Indian women fight the stigma surrounding menstruation and begin manufacturing sanitary pads.,"Documentary, Short",Parental Guidance,25,2018-04-05,Rayka Zehtabchi,"Ajeya, Anita, Gouri Choudari",United States,0,No Production Company Listed,1,13,1,6302.0,7.4,"In a rural village outside Delhi, India, women lead a quiet revolution. They fight against the deeply rooted stigma of menstruation. ""Period. End of Sentence."" -- a documentary short directed by Rayka Zehtabchi -- tells their story. For generations, these women didn't have access to pads, which lead to health problems and girls missing school or dropping out entirely. But when a sanitary pad machine is installed in the village, the women learn to manufacture and market their own pads, empowering the women of their community. They name their brand ""FLY,"" because they want women ""to soar."" Their flight is, in part, enabled by the work of high school girls half a world away, in California, who raised the initial money for the machine and began a non-profit called ""The Pad Project."""
271,ReMastered: The Miami Showband Massacre,"In 1974, while on the way home from a gig, the apolitical rock group, The Miami Showband, fell into the crosshairs of a Protestant unionist paramilitary group that planted explosives on their bus when it was stopped at a fake chec...","Documentary, Crime, Music",Not Rated,71,2019-03-22,Stuart Sender,"Stephen Travers, Bertie Ahern, Alan Brecknell",United States,0,No Production Company Listed,1,0,1,1535.0,6.9,"In 1974, while on the way home from a gig, the apolitical rock group, The Miami Showband, fell into the crosshairs of a Protestant unionist paramilitary group that planted explosives on their bus when it was stopped at a fake chec..."
272,The Legend of Cocaine Island,A desperate man goes on a buried treasure hunt for $2 million worth of cocaine.,Documentary,Mature Audiences,83,2018-04-20,Theo Love,"Bo Butterworth, Bri Bryant, Edward Craig",United States,0,No Production Company Listed,1,2,1,3470.0,6.3,A desperate man goes on a buried treasure hunt for $2 million worth of cocaine.
273,Brené Brown: The Call to Courage,Brené Brown compares courage to vulnerability and gives her audience a call to take chances.,"Documentary, Drama",Not Rated,76,2019-04-19,Sandra Restrepo,Brené Brown,United States,0,No Production Company Listed,1,0,0,1742.0,7.7,Brené Brown compares courage to vulnerability and gives her audience a call to take chances.
274,Grass Is Greener,A look at America's complicated relationship with cannabis.,Documentary,Mature Audiences,97,2019-04-20,Fab 5 Freddy,"Harry J. Anslinger, Louis Armstrong, B-Real",United States,0,No Production Company Listed,1,0,0,1483.0,7.1,A look at America's complicated relationship with cannabis.
275,ReMastered: Devil at the Crossroads,"A look at the short, mysterious life of blues legend, Robert Johnson, who was said to have made a deal with the Devil at a crossroads in rural Mississippi.","Documentary, Biography",Not Rated,48,2019-04-26,Brian Oakes,"Terry Harmonica Bean, Rory Block, Yvonne Chireau",United States,0,No Production Company Listed,1,0,1,2972.0,7.0,"A look at the short, mysterious life of blues legend, Robert Johnson, who was said to have made a deal with the Devil at a crossroads in rural Mississippi."
276,Knock Down the House,A look at the people involved with various political campaigns during the 2018 U.S. congressional election.,Documentary,Parental Guidance,86,2019-01-27,Rachel Lears,"Alexandria Ocasio-Cortez, Cori Bush, Joe Crowley",United States,0,Jubilee Films,1,6,13,12868.0,7.4,"Four exceptional women mount grassroots campaigns against powerful incumbents in Knock Down the House, an inspiring look at the 2018 midterm elections that tipped the balance of power. When tragedy struck her family in the middle of the financial crisis, Bronx-born Alexandria Ocasio-Cortez had to work double shifts as a bartender to save her home from foreclosure. After losing a loved one to a preventable medical condition, Amy Vilela didn't know what to do with the anger she felt about America's broken health care system. Cori Bush, a registered nurse and pastor, was drawn to the streets when the police shooting of an unarmed black man brought protests and tanks into her neighborhood. A coal miner's daughter, Paula Jean Swearengin was fed up with watching her friends and family suffer from the environmental effects of the coal industry."
277,All in My Family,"From documentarian Hao Wu comes a heartfelt portrait of how he created a thoroughly modern family in America, only to face the dilemma of introducing his same-sex partner and their children to his deeply traditional parents and re...","Documentary, Short, Family",Not Rated,39,2019-05-03,Hao Wu,No Cast Available,United States,0,No Production Company Listed,1,0,0,750.0,6.8,"From documentarian Hao Wu comes a heartfelt portrait of how he created a thoroughly modern family in America, only to face the dilemma of introducing his same-sex partner and their children to his deeply traditional parents and relatives in China."
278,ReMastered: The Lion's Share,"South African journalist Rian Malan searches for the original writers of the legendary song ""The Lion Sleeps Tonight.""","Documentary, Music",Not Rated,84,2018-10-12,Sam Cullman,"Rian Malan, Solomon Linda, Delphi Linda",United States,0,No Production Company Listed,1,2,1,684.0,6.9,"South African journalist Rian Malan searches for the original writers of the legendary song ""The Lion Sleeps Tonight."""
279,A Tale of Two Kitchens,"Two countries, two restaurants, one vision. A Tale of Two Kitchens explores the ways in which a restaurant can serve as a place of both dignity and community.","Documentary, Short",Not Rated,29,2019-05-22,Trisha Ziff,No Cast Available,United States,1,No Production Company Listed,1,0,0,314.0,6.3,"Two countries, two restaurants, one vision. At Gabriela Cámara's acclaimed Contramar in Mexico City, the welcoming, uniformed waiters are as beloved by diners as the menu featuring fresh, local seafood caught within 24 hours. The entire staff sees themselves as part of an extended family. Meanwhile at Cala in San Francisco, Cámara hires staff from different backgrounds and cultures, including ex-felons and ex-addicts, who view the work as an important opportunity to grow as individuals. A Tale of Two Kitchens explores the ways in which a restaurant can serve as a place of both dignity and community."
280,After Maria,Strong Puerto Rican women forced to flee the island after Hurricane Maria have bonded like family in a FEMA hotel in the Bronx. They seek stability in their new life as forces try to pull them apart.,"Documentary, Short",Not Rated,37,2019-04-28,Nadia Hallgren,Glenda Martes,United States,0,One Story Up Productions,0,0,2,423.0,4.9,Strong Puerto Rican women forced to flee the island after Hurricane Maria have bonded like family in a FEMA hotel in the Bronx. They seek stability in their new life as forces try to pull them apart.
